ticker,coin,close_ts,side,entry_bid,entry_ask,entry_spread,bid,ask,spread,vol,rise,widen,coin_order,won,utc,day,week,fee,pnl,edge_c
KXETH15M-26JUL070900-00,ETH,1783429200,no,0.7,0.71,0.010000000000000009,0.81,0.8200000000000001,0.010000000000000009,5177.71,0.1100000000000001,0.0,1,1,2026-07-07 13:00:00+00:00,2026-07-07,28,0.155,2.5449999999999995,16.96666666666666
KXBTC15M-26JUL071000-00,BTC,1783432800,yes,0.75,0.76,0.010000000000000009,0.81,0.82,0.009999999999999898,66225.14,0.06000000000000005,-1.1102230246251565e-16,0,0,2026-07-07 14:00:00+00:00,2026-07-07,28,0.155,-12.454999999999998,-83.03333333333333
KXBTC15M-26JUL071900-00,BTC,1783465200,no,0.65,0.6599999999999999,0.009999999999999898,0.78,0.79,0.010000000000000009,38309.38,0.13,1.1102230246251565e-16,0,1,2026-07-07 23:00:00+00:00,2026-07-07,28,0.1742,2.9757999999999996,19.83866666666666
KXBTC15M-26JUL081500-00,BTC,1783537200,yes,0.65,0.66,0.010000000000000009,0.74,0.75,0.010000000000000009,70209.89,0.08999999999999997,0.0,0,1,2026-07-08 19:00:00+00:00,2026-07-08,28,0.1969,3.5531,23.687333333333335
KXBTC15M-26JUL081800-00,BTC,1783548000,yes,0.65,0.66,0.010000000000000009,0.71,0.72,0.010000000000000009,80352.4,0.05999999999999994,0.0,0,1,2026-07-08 22:00:00+00:00,2026-07-08,28,0.2117,3.9883,26.588666666666665
KXBTC15M-26JUL082200-00,BTC,1783562400,no,0.6599999999999999,0.6699999999999999,0.010000000000000009,0.7,0.71,0.010000000000000009,108383.51,0.040000000000000036,0.0,0,1,2026-07-09 02:00:00+00:00,2026-07-09,28,0.2162,4.133800000000001,27.55866666666667
KXBTC15M-26JUL100000-00,BTC,1783656000,yes,0.68,0.69,0.009999999999999898,0.79,0.8,0.010000000000000009,107454.56,0.10999999999999999,1.1102230246251565e-16,0,1,2026-07-10 04:00:00+00:00,2026-07-10,28,0.168,2.831999999999999,18.879999999999995
KXBTC15M-26JUL102100-00,BTC,1783731600,no,0.65,0.6599999999999999,0.009999999999999898,0.73,0.74,0.010000000000000009,86003.33,0.07999999999999996,1.1102230246251565e-16,0,0,2026-07-11 01:00:00+00:00,2026-07-11,28,0.2021,-11.3021,-75.34733333333334
KXBTC15M-26JUL110600-00,BTC,1783764000,no,0.6799999999999999,0.69,0.010000000000000009,0.8,0.81,0.010000000000000009,36428.1,0.1200000000000001,0.0,0,1,2026-07-11 10:00:00+00:00,2026-07-11,28,0.1616,2.6883999999999992,17.92266666666666
KXETH15M-26JUL122300-00,ETH,1783911600,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.79,0.8,0.010000000000000009,3713.08,0.1200000000000001,0.0,1,1,2026-07-13 03:00:00+00:00,2026-07-13,29,0.168,2.831999999999999,18.879999999999995
KXETH15M-26JUL131700-00,ETH,1783976400,no,0.69,0.7,0.010000000000000009,0.72,0.73,0.010000000000000009,2829.75,0.030000000000000027,0.0,1,1,2026-07-13 21:00:00+00:00,2026-07-13,29,0.207,3.843000000000001,25.620000000000005
KXBTC15M-26JUL132000-00,BTC,1783987200,yes,0.74,0.75,0.010000000000000009,0.83,0.84,0.010000000000000009,100481.64,0.08999999999999997,0.0,0,1,2026-07-14 00:00:00+00:00,2026-07-14,29,0.1412,2.2588000000000004,15.05866666666667
KXBTC15M-26JUL141500-00,BTC,1784055600,yes,0.68,0.69,0.009999999999999898,0.73,0.74,0.010000000000000009,68467.59,0.04999999999999993,1.1102230246251565e-16,0,0,2026-07-14 19:00:00+00:00,2026-07-14,29,0.2021,-11.3021,-75.34733333333334
KXBTC15M-26JUL141600-00,BTC,1784059200,yes,0.69,0.7,0.010000000000000009,0.72,0.73,0.010000000000000009,74527.85,0.030000000000000027,0.0,0,1,2026-07-14 20:00:00+00:00,2026-07-14,29,0.207,3.843000000000001,25.620000000000005
KXBTC15M-26JUL141700-00,BTC,1784062800,yes,0.66,0.67,0.010000000000000009,0.82,0.83,0.010000000000000009,88011.03,0.15999999999999992,0.0,0,1,2026-07-14 21:00:00+00:00,2026-07-14,29,0.1482,2.4018000000000006,16.012000000000004
