ticker,series,side,frontier_bid,distance_c,multiplier,pool_reward,target,cumulative_ahead,guaranteed_capacity,rest_fraction,min_qty_for_1usd,modeled_reward,worst_one_fill_loss,reward_to_loss,fits_frontier,arithmetic_cover,scalable_candidate,reward_day_if_repeated
KXEURUSDAW-26AUG07-1.1470,KXEURUSDAW,yes,0.8,1.999999999999991,0.2500000000000016,120.0,1000.0,108.0,892,0.5,135,1.0040285094515096,108.0,0.009296560272699162,True,False,False,0.2359731427185645
KXUST10AM-26AUG31-T4.64,KXUST10AM,no,0.34,2.9999999999999973,0.1250000000000002,100.0,1000.0,971.0,29,0.5,324,1.0023511941591403,110.16000000000001,0.009099048603478033,False,False,False,0.18988265168486637
KXHUNGARYPRES-27JAN01-ALAC,KXHUNGARYPRES,no,0.69,2.0000000000000018,0.2499999999999997,100.0,1000.0,854.67,145,0.5,162,1.0023511941591374,111.77999999999999,0.008967178333862387,False,False,False,0.1959997004626518
KXHDCC-26SEP07-T93,KXHDCC,no,0.09,5.000000000000002,0.0312499999999999,100.0,1000.0,822.95,177,0.5,1293,1.0000541405953887,116.36999999999999,0.008593745300295512,False,False,False,0.1955673852078399
KXUST5AM-26AUG31-T4.56,KXUST5AM,yes,0.18,4.000000000000001,0.0624999999999999,100.0,1000.0,708.0,292,0.5,647,1.0008198369607235,116.46,0.008593678833597145,False,False,False,0.18959554731253797
KXWTIMAX-26AUG31-T85.50,KXWTIMAX,no,0.58,2.0000000000000018,0.2499999999999997,80.0,1000.0,845.0,155,0.5,203,1.002283527741775,117.74,0.008512684964682988,False,False,False,0.23888665145020235
KXHDCC-26SEP07-T99,KXHDCC,no,0.75,2.0000000000000018,0.2499999999999997,100.0,1000.0,834.0,166,0.5,162,1.0023511941591374,121.5,0.008249804067153395,True,False,False,0.1959997007217708
KXSG-26NOVMARGIN-10,KXSG,no,0.21,4.000000000000001,0.0624999999999999,110.0,1000.0,711.0,289,0.5,588,1.0014244132036896,123.47999999999999,0.008110013064493762,False,False,False,0.20050912903326482
KXVOTEPRIMARY-SCRSENS26RFRYRFRY-15,KXVOTEPRIMARY,no,0.2,3.9999999999999982,0.0625,100.0,1000.0,954.97,45,0.5,647,1.000819836960725,129.4,0.007734310950237442,False,False,False,0.23114708217499247
KXVOTEPRIMARY-FLPRIMARY25D26OLAROLAR-40,KXVOTEPRIMARY,yes,0.18,4.000000000000001,0.0624999999999999,90.0,1000.0,842.19,157,0.5,720,1.0012360939431382,129.6,0.00772558714462298,False,False,False,0.229314179259936
