ticker,series,coin,wkey,a0,a1,ret,result,volume,oi
KXZEC15M-26JUL022015-15,KXZEC15M,ZEC,26JUL022015,434.4327,433.8514,-0.0013380668628305346,no,198.96,131.72
KXZEC15M-26JUL022000-00,KXZEC15M,ZEC,26JUL022000,433.8091,434.4327,0.0014374986601249499,yes,452.06,328.83
KXZEC15M-26JUL021945-45,KXZEC15M,ZEC,26JUL021945,433.9378,433.8091,-0.00029658628494678437,no,718.33,282.96
KXZEC15M-26JUL021930-30,KXZEC15M,ZEC,26JUL021930,431.5354,433.9378,0.005567098319164547,yes,731.28,638.99
KXZEC15M-26JUL021915-15,KXZEC15M,ZEC,26JUL021915,432.2576,431.5354,-0.0016707629894767459,no,1602.32,494.58
KXZEC15M-26JUL021900-00,KXZEC15M,ZEC,26JUL021900,431.3435,432.2576,0.002119192708363564,yes,678.99,535.92
KXZEC15M-26JUL021845-45,KXZEC15M,ZEC,26JUL021845,432.155,431.3435,-0.0018777984750840944,no,351.62,269.94
KXZEC15M-26JUL021830-30,KXZEC15M,ZEC,26JUL021830,430.8709,432.155,0.0029802430379957585,yes,314.93,135.95
KXZEC15M-26JUL021815-15,KXZEC15M,ZEC,26JUL021815,432.9317,430.8709,-0.004760104191954463,no,572.41,332.29
KXZEC15M-26JUL021800-00,KXZEC15M,ZEC,26JUL021800,430.707,432.9317,0.0051652283338789115,yes,359.81,321.13
KXZEC15M-26JUL021745-45,KXZEC15M,ZEC,26JUL021745,431.9714,430.707,-0.0029270456331137273,no,296.55,90.78
KXZEC15M-26JUL021730-30,KXZEC15M,ZEC,26JUL021730,432.025,431.9714,-0.00012406689427685977,no,1360.81,615.75
KXZEC15M-26JUL021715-15,KXZEC15M,ZEC,26JUL021715,433.455,432.025,-0.003299073721608949,no,542.81,278.23
KXZEC15M-26JUL021700-00,KXZEC15M,ZEC,26JUL021700,433.4601,433.455,-1.1765788823532302e-05,no,2443.59,1216.41
KXZEC15M-26JUL021645-45,KXZEC15M,ZEC,26JUL021645,431.6352,433.4601,0.0042278757617544025,yes,452.77,341.65
KXZEC15M-26JUL021630-30,KXZEC15M,ZEC,26JUL021630,433.6795,431.6352,-0.004713849743877728,no,962.37,471.24
