coin,wkey,ticker,day,hour,minute,secs,px,vol,frac_long,won,edge
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,2,178.1509850025177,0.83,10939.600000000008,0.41994862700647173,1,0.17000000000000004
XRP,26JUL251500,KXXRP15M-26JUL251500-00,2026-07-25,19,2,174.39047002792358,0.72,30.0,0.0,0,-0.72
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,14,872.3961970806122,0.55,23.6,0.0,1,0.44999999999999996
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,13,839.5656371116638,0.51,338.53999999999996,0.1930052578720388,0,-0.51
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,12,779.4359390735626,0.65,2083.1699999999996,0.39585343490929703,0,-0.65
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,11,719.350133895874,0.6,2508.13,0.4285463672138206,0,-0.6
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,10,659.2196691036224,0.55,3361.12,0.4208359118389108,0,-0.55
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,9,597.5434699058533,0.6,3884.780000000001,0.46278811155329247,1,0.4
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,8,539.5281949043274,0.62,4785.630000000004,0.47848036726616927,1,0.38
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,7,472.55829310417175,0.64,5212.750000000003,0.5158965996834682,1,0.36
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,6,410.07941699028015,0.63,5631.290000000002,0.5336805598717168,1,0.37
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,5,358.07384395599365,0.78,8219.170000000002,0.40182524512815787,1,0.21999999999999997
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,4,292.62339997291565,0.84,10511.75,0.3916027302780224,1,0.16000000000000003
XRP,26JUL251515,KXXRP15M-26JUL251515-15,2026-07-25,19,3,238.61078095436096,0.948,13627.330000000002,0.3585515284358714,1,0.052000000000000046
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,14,890.3412470817566,0.64,265.64,0.0,1,0.36
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,13,829.8144381046295,0.64,892.9799999999997,0.4538959439181171,1,0.36
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,12,778.8508570194244,0.73,1332.299999999999,0.5461832920513402,1,0.27
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,11,718.5033550262451,0.85,2530.1600000000003,0.5326422044455686,1,0.15000000000000002
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,10,657.9642329216003,0.88,4123.840000000003,0.6726230891596177,1,0.12
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,9,593.8489470481873,0.9,5332.490000000005,0.7186155060768976,1,0.09999999999999998
XRP,26JUL251530,KXXRP15M-26JUL251530-30,2026-07-25,19,8,535.7339820861816,0.918,5925.240000000006,0.664275202354672,1,0.08199999999999996
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,14,885.8071630001068,0.5900000000000001,4.01,0.0,1,0.4099999999999999
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,13,838.3145740032196,0.64,316.84,0.630128771619745,1,0.36
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,12,779.9168748855591,0.71,746.2199999999998,0.6066977566937367,1,0.29000000000000004
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,11,715.8610870838165,0.71,1905.9000000000003,0.7227084317120521,1,0.29000000000000004
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,10,659.355663061142,0.83,4507.210000000001,0.443797826149658,1,0.17000000000000004
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,9,599.072793006897,0.79,6844.310000000003,0.5315057324989663,1,0.20999999999999996
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,8,539.5003550052643,0.88,8265.430000000006,0.5178980403923327,1,0.12
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,7,471.5554759502411,0.914,9183.890000000007,0.5237758727510891,1,0.08599999999999997
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,6,419.61555099487305,0.909,9662.93000000001,0.5277457251578971,1,0.09099999999999997
XRP,26JUL251545,KXXRP15M-26JUL251545-45,2026-07-25,19,5,351.4234449863434,0.9339999999999999,10210.530000000013,0.5219356879613495,1,0.06600000000000006
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,14,892.0804829597473,0.5,144.26,0.0,1,0.5
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,13,838.7039220333099,0.63,972.1499999999997,0.379139021755902,0,-0.63
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,12,779.3638179302216,0.64,1887.5099999999995,0.5808340088264434,0,-0.64
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,11,718.6829628944397,0.7,2491.8099999999995,0.49274222352426555,0,-0.7
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,10,659.8643410205841,0.52,4132.76,0.641873711514823,0,-0.52
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,9,598.3271679878235,0.56,5300.26,0.6170074675581956,1,0.43999999999999995
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,8,539.6333630084991,0.56,5932.23,0.6256736505496251,1,0.43999999999999995
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,7,473.29465508461,0.81,8944.300000000001,0.4743244300839644,1,0.18999999999999995
XRP,26JUL251600,KXXRP15M-26JUL251600-00,2026-07-25,20,6,418.044086933136,0.87,9436.0,0.47538575667655825,1,0.13
