coin,wkey,day,px,maker_yes,vol,frac_long,won,edge
SOL,26AUG041615,2026-08-04,0.6799999999999999,False,1182.3799999999999,0.3751754934961688,1,0.32000000000000006
SOL,26AUG041600,2026-08-04,0.65,False,1324.84,0.42479846622988426,1,0.35
SOL,26AUG041545,2026-08-04,0.67,True,3802.200000000001,0.4907132712640049,1,0.32999999999999996
SOL,26AUG041530,2026-08-04,0.65,False,1495.89,0.4855437231347224,1,0.35
SOL,26AUG041515,2026-08-04,0.71,True,409.98999999999995,0.1562964950364643,1,0.29000000000000004
SOL,26AUG041500,2026-08-04,0.72,True,290.9,0.3395324853901684,0,-0.72
SOL,26AUG041445,2026-08-04,0.65,False,845.64,0.3598339719029375,1,0.35
SOL,26AUG041430,2026-08-04,0.76,True,1174.28,0.18103859386177062,1,0.24
SOL,26AUG041415,2026-08-04,0.68,True,2380.3900000000003,0.35416885468347614,1,0.31999999999999995
SOL,26AUG041400,2026-08-04,0.6599999999999999,False,1057.84,0.6641930726763973,1,0.3400000000000001
SOL,26AUG041345,2026-08-04,0.6599999999999999,False,1649.77,0.48258848203082855,1,0.3400000000000001
SOL,26AUG041330,2026-08-04,0.65,False,2641.3099999999995,0.30845678848753094,0,-0.65
SOL,26AUG041315,2026-08-04,0.73,True,443.8999999999999,0.41396710970939404,1,0.27
SOL,26AUG041300,2026-08-04,0.65,True,5858.7600000000075,0.4073967870334332,0,-0.65
SOL,26AUG041245,2026-08-04,0.7,False,816.48,0.45288310797570047,1,0.30000000000000004
SOL,26AUG041230,2026-08-04,0.65,True,962.85,0.11006906579425664,1,0.35
SOL,26AUG041215,2026-08-04,0.6599999999999999,False,1049.0400000000004,0.2487893693281476,1,0.3400000000000001
SOL,26AUG041200,2026-08-04,0.69,True,1248.3000000000002,0.45278378594889057,1,0.31000000000000005
SOL,26AUG041145,2026-08-04,0.65,True,1690.94,0.42388848805989565,1,0.35
SOL,26AUG041130,2026-08-04,0.72,False,3870.229999999999,0.34811109417269775,1,0.28
SOL,26AUG041115,2026-08-04,0.66,True,1406.6699999999996,0.35281196016123195,1,0.33999999999999997
SOL,26AUG041100,2026-08-04,0.6699999999999999,False,4158.430000000001,0.6369086410015317,1,0.33000000000000007
SOL,26AUG041045,2026-08-04,0.76,True,2009.219999999999,0.19973422522172793,1,0.24
SOL,26AUG041030,2026-08-04,0.69,False,917.72,0.0464738700257159,1,0.31000000000000005
SOL,26AUG041015,2026-08-04,0.74,False,867.5900000000001,0.23636740856856345,1,0.26
SOL,26AUG041000,2026-08-04,0.6799999999999999,False,771.1999999999999,0.5629408713692946,1,0.32000000000000006
SOL,26AUG040945,2026-08-04,0.71,True,3671.82,0.11404153798388804,1,0.29000000000000004
